class,label
https://w3id.org/platoon/InconsistencyOfMeasurementFailure,"""Inconsistency Of Measurement Failure""@en"
https://w3id.org/platoon/InterPhaseShortCircuit,"""Inter Phase Short Circuit""@en"
https://w3id.org/platoon/LockingOrBadTurningOfTheBearing,"""Locking Or Bad Turning Of The Bearing""@en"
https://w3id.org/platoon/LoosenessFailure,"""Looseness Failure""@en"
https://w3id.org/platoon/LossOfMeasurementFailure,"""Loss Of Measurement Failure""@en"
https://w3id.org/platoon/MagnetiCoreFailure,"""Magnetic Core Failure""@en"
https://w3id.org/platoon/MagneticCoreFailure,"""Magnetic Core Failure""@en"
https://w3id.org/platoon/Maintenance,"""Maintenance""@en"
https://w3id.org/platoon/MaintenanceCause,"""Maintenance Cause""@en"
https://w3id.org/platoon/MechanicalCause,"""Mechanical Cause""@en"
https://w3id.org/platoon/MonitoringFailure,"""Monitoring Failure""@en"
https://w3id.org/platoon/NoSwitchStayingInConnectedConverted,"""No Switch Staying In Connected Converted""@en"
https://w3id.org/platoon/NonTechnicalLossAlert,"""Non Technical Loss Alert""@en"
https://w3id.org/platoon/NonTechnicalLossEvent,"""Non Technical Loss Event""@en"
https://w3id.org/platoon/OilOverTemperatureFailure,"""Oil Over Temperature Failure""@en"
https://w3id.org/platoon/OpenCircuit,"""Open Circuit""@en"
https://w3id.org/platoon/OutOfRange,"""Out of range""@en"
https://w3id.org/platoon/OverheatingFailure,"""Over Heating Failure""@en"
https://w3id.org/platoon/PartialSlotDischarges,"""Partial Slot Discharges""@en"
https://w3id.org/platoon/Recommendation,"""Recommendation""@en"
https://w3id.org/platoon/RepairMaintenance,"""Repair Maintenance""@en"
https://w3id.org/platoon/ReplacementMaintenance,"""Replacement Maintenance""@en"
https://w3id.org/platoon/ResistorInOpenCircuit,"""Resistor In Open Circuit""@en"
https://w3id.org/platoon/ResistorInShortCircuit,"""Resistor In Short Circuit""@en"
https://w3id.org/platoon/SafetyMode,"""Safety Mode""@en"
https://w3id.org/platoon/SeverityLevelEvaluation,"""Severity Level Evaluation""@en"
https://w3id.org/platoon/SeverityLevelProperty,"""Severity Level Property""@en"
https://w3id.org/platoon/ShortCircuit,"""Short Circuit""@en"
https://w3id.org/platoon/ShortCircuitBetweenCoils,"""Short Circuit Between Coils""@en"
https://w3id.org/platoon/ShortCircuitInCoilEnds,"""Short Circuit In Coil Ends""@en"
https://w3id.org/platoon/ShortCircuitToGround,"""Short Circuit To Ground""@en"
https://w3id.org/platoon/StructuralFailure,"""Structural Failure""@en"
https://w3id.org/platoon/SwitchStayingWithCrowbarIn,"""Switch Staying With Crowbar In""@en"
https://w3id.org/platoon/UnderperformanceFailure,"""Underperformance Failure""@en"
https://w3id.org/platoon/WeatherCause,"""Weather Cause""@en"
https://w3id.org/platoon/LongTermForecast,"""Long Term Forecast""@en"
https://w3id.org/platoon/MediumTermForecast,"""Medium Term Forecast""@en"
https://w3id.org/platoon/ShortTermForecast,"""Short Term Forecast""@en"
https://w3id.org/platoon/UltraShortTermForecast,"""UltraShort Term Forecast""@en"
https://w3id.org/platoon/AirFlowEvaluation,"""Air Flow Evaluation""@en"
https://w3id.org/platoon/AirFlowProperty,"""Air Flow Property""@en"
https://w3id.org/platoon/AvailabilyEvaluation,"""Availabily Evaluation""@en"
https://w3id.org/platoon/AvailabilyProperty,"""Availabily Property""@en"
https://w3id.org/platoon/BasicComfortLevelEvaluation,"""Basic Comfort Level Evaluation""@en"
https://w3id.org/platoon/BestComfortLevelEvaluation,"""Best Comfort Level Evaluation""@en"
https://w3id.org/platoon/Colour,"""Colour""@en"
https://w3id.org/platoon/ComfortLevelEvaluation,"""Comfort Level Evaluation""@en"
https://w3id.org/platoon/ComfortLevelProperty,"""Comfort Level Property""@en"
https://w3id.org/platoon/CoolFeelingIndexProperty,"""Cool Feeling Index Property""@en"
https://w3id.org/platoon/CoolingIndicatorEvaluation,"""Cooling Indicator Evaluation""@en"
https://w3id.org/platoon/CoolingIndicatorProperty,"""Cooling Indicator Property""@en"
https://w3id.org/platoon/DeviationEvaluation,"""Deviation Evaluation""@en"
https://w3id.org/platoon/DeviationProperty,"""Deviation Property""@en"
https://w3id.org/platoon/FlowEvaluation,"""Gas Flow Evaluation""@en"
https://w3id.org/platoon/FlowProperty,"""Flow Property""@en"
https://w3id.org/platoon/ForecastOfHealthIndexProperty,"""Forecast Of Health Index Property""@en"
https://w3id.org/platoon/ForecastOfOccupancy,"""Forecast Of Occupancy""@en"
https://w3id.org/platoon/ForecastOfPriceProperty,"""Forecast Of Price Property""@en"
https://w3id.org/platoon/ForecastOfRemainingUsefulLifeProperty,"""Forecast Of Remaining Useful Life Property""@en"
https://w3id.org/platoon/ForecasterOfOccupancy,"""Forecast Of Occupancy""@en"
https://w3id.org/platoon/GasFlowEvaluation,"""Gas Flow Evaluation""@en"
https://w3id.org/platoon/HealthIndexEvaluation,"""Health Index Evaluation""@en"
https://w3id.org/platoon/HealthIndexProperty,"""Health Index Property""@en"
https://w3id.org/platoon/HeatEmissionIndicatorEvaluation,"""Heat Emission Indicator Evaluation""@en"
https://w3id.org/platoon/HeatEmissionIndicatorProperty,"""Heat Emission Indicator Property""@en"
https://w3id.org/platoon/MechanicalPowerEvaluation,"""Mechanical Power Evaluation""@en"
https://w3id.org/platoon/MechanicalPowerProperty,"""Mechanical Power Property""@en"
https://w3id.org/platoon/MinimumThresholdComfortLevelEvaluation,"""Minimum Threshold Comfort Level Evaluation""@en"
https://w3id.org/platoon/OccupiedNumberEvaluation,"""Occupied Number Evaluation""@en"
https://w3id.org/platoon/OpeningPercentageEvaluation,"""Opening Percentage Evaluation""@en"
https://w3id.org/platoon/OpeningPercentageProperty,"""Opening Percentage Property""@en"
https://w3id.org/platoon/OperationModeCodeEvaluation,"""OperationModeCode Evaluation""@en"
https://w3id.org/platoon/OperationModeCodeProperty,"""Operation Mode Code Property""@en"
https://w3id.org/platoon/OperationTimeEvaluation,"""Operation Time Evaluation""@en"
https://w3id.org/platoon/OperationTimeProperty,"""Operation Time Property""@en"
https://w3id.org/platoon/PercentageEvaluation,"""Percentage Evaluation""@en"
https://w3id.org/platoon/PositionEvaluation,"""Position Evaluation""@en"
https://w3id.org/platoon/PositionProperty,"""Position Property""@en"
https://w3id.org/platoon/PressureEvaluation,"""Pressure Evaluation""@en"
https://w3id.org/platoon/RemainingUsefulLifeEvaluation,"""Remaining UsefulLife Evaluation""@en"
https://w3id.org/platoon/RemainingUsefulLifeProperty,"""Remaining Useful Life Property""@en"
https://w3id.org/platoon/RenewableEnergyProductionAutomaticStopStatus,"""Renewable Energy Production Automatic Stop Status""@en"
https://w3id.org/platoon/RotationalSpeedEvaluation,"""Rotational Speed  Evaluation""@en"
